DAY,AMOUNT
1277,0
1278,0
1279,55
1280,14
1281,16
1282,0
1283,0
1284,3806
1285,62
1286,54
1287,0
1288,0
1289,17
1290,110
1291,6
1292,0
1293,0
1294,5
1295,17
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,138
1305,0
1306,4
1307,0
1308,13
1309,194
1310,447
1311,680
1312,25
1313,139
1314,7090
1315,1801
1316,56
1317,7623
1318,0
1319,0
1320,0
1321,10
1322,0
1323,0
1324,5
1325,2
1326,7174
1327,0
1328,0
1329,16
1330,0
1331,2
1332,0
1333,128
1334,0
1335,44
1336,1651
1337,3
1338,47
1339,1482
1340,337
1341,478
1342,19
1343,72
1344,11
1345,0
1346,10
1347,18
1348,2795
1349,3911
1350,42
1351,22
1352,2
1353,54
1354,54
1355,455
1356,7
1357,0
1358,37
1359,5330
1360,0
1361,2
1362,7233
1363,3
1364,0
1365,35
1366,0
1367,0
1368,0
1369,2543
1370,3826
1371,425596
1372,14181
1373,6
1374,174702
1375,12
1376,165
1377,1984
1378,45278
1379,71615
1380,74790
1381,67529
1382,0
1383,12426
1384,40806
1385,42235
1386,40813
1387,255
1388,0
1389,95
1390,611
1391,123685
1392,83747
1393,0
1394,2
1395,0
1396,504
1397,33
1398,63203
1399,82
1400,0
1401,0
1402,0
1403,24
1404,4
1405,1287
1406,58
1407,4222
1408,0
1409,0
1410,3
1411,0
1412,68
1413,2
1414,12
1415,0
1416,0
1417,0
1418,0
1419,3
1420,78
1421,9
1422,5
1423,28
1424,18
1425,27
1426,24
1427,25
1428,7
1429,0
1430,0
1431,11
1432,0
1433,0
1434,0
1435,0
1436,0
1437,7
1438,74
1439,86
1440,0
1441,0
1442,3548
1443,0
1444,0
1445,0
1446,10
1447,20
1448,46
1449,13
1450,0
1451,0
1452,238
1453,108
1454,0
1455,3205
1456,40
1457,7
1458,3
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,7
1466,0
1467,0
1468,3837
1469,0
1470,0
1471,3
1472,0
1473,0
1474,9
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,1739
1483,0
1484,0
1485,0
1486,0
1487,2350
1488,0
1489,62
1490,0
1491,0
1492,10
1493,0
1494,0
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,0
1508,16
1509,0
1510,0
1511,4
1512,0
1513,0
1514,0
1515,0
1516,0
1517,150
1518,0
1519,0
1520,4
1521,0
1522,0
1523,5371
1524,0
1525,0
1526,0
1527,29
1528,5578
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,3
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,12
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,0
1556,0
1557,0
1558,0
1559,0
1560,8
1561,0
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,0
1569,0
1570,0
1571,0
1572,0
1573,8
1574,0
1575,2181
1576,2
1577,0
1578,0
1579,402
1580,0
1581,0
1582,1042
1583,78
1584,16202
1585,435
1586,927
1587,1422
1588,626
1589,0
1590,21
1591,94
1592,6
1593,6491
1594,0
1595,3
1596,383
1597,8
1598,14
1599,91
1600,28
1601,0
1602,129
1603,3
1604,3932
1605,0
1606,0
1607,0
1608,0
1609,36
1610,12
1611,3997
1612,17339
1613,0
1614,0
1615,32
1616,3
1617,11514
1618,7930
1619,0
1620,0
1621,0
1622,12235
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,0
1632,30
1633,0
1634,0
1635,11
1636,0
1637,0
1638,16
1639,0
1640,0
1641,1009
1642,66
1643,0
1644,0
1645,0
1646,0
1647,0
1648,19
1649,23
1650,0
1651,0
1652,2282
1653,0
1654,0
1655,0
1656,26
1657,4036
1658,0
1659,5
1660,239
1661,0
1662,0
1663,16
1664,6
1665,6533
1666,4577
1667,78
1668,15
1669,0
1670,0
