DAY,AMOUNT
1626,98
1627,0
1628,0
1629,0
1630,0
1631,0
1632,0
1633,0
1634,0
1635,0
1636,228
1637,80
1638,77
1639,318
1640,37
1641,0
1642,0
1643,145
1644,560
1645,145
1646,9
1647,140
1648,0
1649,83
1650,268
1651,685
1652,566
1653,1253
1654,220
1655,0
1656,0
1657,211
1658,83
1659,302
1660,190
1661,118
1662,204
1663,8
1664,89
1665,262
1666,66
1667,14
1668,0
1669,34
1670,0
1671,81
1672,1708
1673,0
1674,1318
1675,1261
1676,0
1677,399
1678,4561
1679,309
1680,52
1681,22
1682,69
1683,0
1684,0
1685,19
1686,106
1687,74
1688,153
1689,7
1690,0
1691,0
1692,11
1693,124
1694,37
1695,23
1696,39
1697,0
1698,3
1699,227
1700,196
1701,235
1702,197
1703,62
1704,0
1705,0
1706,2
1707,0
1708,66
1709,287
1710,186
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,169
1718,0
1719,0
1720,0
1721,212
1722,350
1723,130
1724,439
1725,0
1726,0
1727,57
1728,48
1729,0
1730,34
1731,157
1732,0
1733,43
1734,4
1735,857
1736,14
1737,234
1738,495
1739,11
1740,1568
1741,308
1742,202
1743,115
1744,239
1745,16
1746,32
1747,111
1748,159
1749,203
1750,2277
1751,1905
1752,123
1753,61
1754,42
1755,51
1756,11
1757,86
1758,0
1759,0
1760,0
1761,0
1762,94
1763,32
1764,112
1765,6
1766,7
1767,0
1768,0
1769,0
1770,14
1771,354
1772,33
1773,127
1774,2
1775,0
1776,42
1777,2
1778,0
1779,0
1780,0
1781,0
1782,0
1783,33
1784,0
1785,24
1786,0
1787,32
1788,12
1789,2
1790,17
1791,2
1792,235
1793,0
1794,3
1795,0
1796,14
1797,0
1798,72
1799,6
1800,1567
1801,352
1802,23
1803,0
1804,180
1805,416
1806,419
1807,144
1808,51
1809,0
1810,1475
1811,221
1812,58
1813,48
1814,364
1815,816
1816,0
1817,0
1818,194
1819,190
1820,2244
1821,127
1822,878
1823,0
1824,3
1825,1751
1826,75
1827,296
1828,273
1829,386
1830,120
1831,138
1832,418
1833,584
1834,96
1835,951
1836,423
1837,88
1838,0
1839,563
1840,2386
1841,574
1842,152
1843,2573
1844,0
1845,6
1846,156
1847,665
1848,336
1849,365
1850,1589
1851,9
1852,62
1853,656
1854,200
1855,203
1856,958
1857,0
1858,0
1859,97
1860,845
1861,50
1862,166
1863,104
1864,109
1865,69
1866,0
1867,0
1868,510
1869,496
1870,48
1871,0
1872,2
1873,4
1874,42
1875,18
1876,360
1877,190
1878,261
1879,150
1880,308
1881,810
1882,401
1883,844
1884,469
1885,1019
1886,73
1887,0
1888,86
1889,27
1890,643
1891,135
1892,1767
1893,5
1894,14
1895,906
1896,1938
1897,451
1898,154
1899,0
1900,3
1901,9
1902,501
1903,435
1904,28
1905,28
1906,300
1907,0
1908,0
1909,220
1910,415
1911,3077
1912,173
1913,314
1914,4
1915,3
1916,18
1917,65
1918,68
1919,2
1920,30
1921,56
1922,48
1923,155
1924,2890
1925,323
1926,210
1927,630
1928,100
1929,23
1930,530
1931,159
1932,14
1933,92
1934,297
1935,55
1936,168
1937,0
1938,39
1939,92
1940,0
1941,392
1942,0
1943,0
1944,371
1945,1124
1946,25
1947,12
1948,0
1949,27
1950,0
1951,0
1952,405
1953,213
1954,20
1955,222
1956,0
1957,5
1958,0
1959,222
1960,38
1961,381
1962,169
1963,125
1964,0
1965,17
1966,21
1967,188
1968,9
1969,0
1970,7
1971,0
1972,8
1973,88
1974,129
1975,293
1976,692
1977,72
1978,0
1979,19
1980,186
1981,4
1982,0
1983,130
1984,0
1985,0
1986,502
1987,188
1988,134
1989,132
1990,190
1991,0
1992,0
1993,611
1994,523
1995,313
1996,123
1997,361
1998,123
1999,266
2000,171
2001,1478
2002,86
2003,54
2004,11
2005,15
2006,0
2007,63
2008,480
2009,216
2010,28
2011,110
2012,0
2013,327
2014,247
2015,412
2016,0
2017,9
2018,81
2019,7
2020,0
2021,17
2022,137
2023,174
2024,81
2025,31
2026,0
2027,70
2028,145
2029,148
2030,93
2031,266
2032,218
2033,36
2034,3
2035,120
2036,88
2037,44
2038,6
2039,44
2040,0
2041,0
2042,59
2043,4
2044,13
2045,30
2046,3
2047,0
2048,0
2049,0
2050,0
2051,3
2052,0
2053,2
2054,36
2055,103
2056,58
2057,37
2058,58
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,17
2066,36
2067,0
2068,78
2069,0
2070,54
2071,0
2072,117
2073,83
2074,11
2075,97
2076,10
2077,2399
2078,45
2079,192
2080,24
2081,233
2082,114
2083,164
2084,535
2085,151
2086,88
2087,282
2088,539
2089,138
2090,12
2091,625
2092,149
2093,222
2094,124
2095,0
2096,111
2097,98
2098,146
2099,72
2100,0
2101,630
2102,10
2103,0
2104,0
2105,2
2106,68
2107,31
2108,38
2109,72
2110,7
2111,0
2112,13
2113,10793
2114,32
2115,1207
2116,0
2117,0
2118,0
2119,0
2120,0
2121,9
2122,0
2123,0
2124,0
2125,0
2126,197
2127,1454
2128,32
2129,20
2130,369
2131,7
2132,0
2133,17
2134,284
2135,208
2136,21
2137,0
2138,0
2139,0
2140,2
2141,0
2142,0
2143,0
2144,0
2145,0
2146,0
2147,0
2148,0
2149,0
2150,0
2151,0
2152,48
2153,0
2154,0
2155,176
2156,5
2157,197
2158,335
2159,0
2160,3
2161,95
2162,2622
2163,92
2164,3260
2165,19
2166,0
2167,0
2168,93
2169,18
2170,6
2171,142
2172,0
2173,0
2174,0
2175,17
2176,0
2177,1314
2178,190
2179,33
2180,0
2181,0
2182,9
2183,25
2184,0
2185,2934
2186,114
2187,2
2188,41
2189,309
2190,126
2191,103
2192,44
2193,2879
2194,0
2195,353
2196,202
2197,147
2198,92
2199,100
2200,0
2201,0
2202,63
2203,2615
2204,166
2205,8
2206,12
2207,86
2208,24
2209,0
2210,34
2211,71
2212,364
2213,378
2214,18
2215,0
2216,0
2217,22
2218,766
2219,0
2220,658
2221,748
2222,0
2223,139
2224,379
2225,92
2226,0
2227,0
2228,137
2229,0
2230,0
2231,69
2232,118
2233,25
2234,24
2235,0
2236,0
2237,8
2238,342
2239,74
2240,104
2241,0
2242,0
2243,0
2244,0
2245,10
2246,90
2247,235
2248,128
2249,0
2250,0
2251,0
2252,0
2253,156
2254,6
2255,8
2256,94
2257,7
2258,0
2259,0
2260,113
2261,96
2262,171
2263,2
2264,6
2265,2
2266,14
2267,146
2268,87
2269,100
2270,388
2271,255
2272,9
2273,146
2274,40
2275,16652
2276,50
2277,13970
2278,175
2279,0
2280,8
2281,2196
2282,287
2283,1285
2284,198
2285,1006
2286,3
2287,884
2288,1433
2289,206
2290,308
2291,718
2292,2
2293,526
2294,4
2295,1753
2296,1367
2297,1498
2298,1195
2299,4978
2300,408
2301,801
2302,370
2303,385
2304,136
2305,82
2306,6032
2307,241
2308,93
2309,169
2310,171
2311,271
2312,99
2313,11
2314,0
2315,115
2316,603
2317,891
2318,3497
2319,235
2320,312
2321,9
2322,80
2323,107
2324,1252
2325,409
2326,1985
2327,322
2328,778
2329,529
2330,483
2331,409
2332,426
2333,301
2334,140
2335,1492
2336,249
2337,1724
2338,235
2339,278
2340,176
2341,383
2342,56
2343,522
2344,212
2345,220
2346,124
