DAY,AMOUNT
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,12
460,0
461,6
462,0
463,0
464,0
465,0
466,246
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,10
508,0
509,0
510,0
511,0
512,0
513,18
514,0
515,0
516,0
517,0
518,0
519,0
520,7
521,0
522,5
523,0
524,0
525,0
526,0
527,10551
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,68
536,0
537,0
538,0
539,0
540,41
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,2
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,23900
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,70164
651,0
652,68
653,30
654,9
655,597
656,1334
657,2
658,0
659,0
660,221
661,0
662,396
663,39
664,17
665,0
666,610
667,75
668,2
669,0
670,74
671,6
672,0
673,18
674,0
675,50
676,165
677,0
678,0
679,0
680,0
681,0
682,956
683,0
684,244
685,0
686,0
687,197
688,613
689,56
690,19
691,5060
692,54
693,0
694,0
695,0
696,14
697,149
698,44
699,0
700,0
701,0
702,0
703,12
704,20
705,27
706,0
707,0
708,545
709,5
710,0
711,0
712,0
713,0
714,0
715,0
716,89
717,0
718,0
719,3
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,2252
733,1047
734,0
735,0
736,0
737,320
738,6208
739,34
740,0
741,0
742,0
743,0
744,540
745,3833
746,497
747,0
748,0
749,0
750,0
751,495
752,0
753,24167
754,499
755,0
756,0
757,2921
758,70
759,0
760,6
761,191
762,0
763,0
764,0
765,31151
766,167
767,0
768,155
769,141
770,0
771,0
772,0
773,0
774,202
775,5556
776,0
777,0
778,468
779,86
780,0
781,17553
782,9933
783,603
784,0
785,13
786,126
787,1652
788,447
