DAY,AMOUNT
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,0
1307,0
1308,0
1309,0
1310,0
1311,0
1312,0
1313,261
1314,17
1315,0
1316,0
1317,0
1318,132
1319,0
1320,0
1321,0
1322,0
1323,0
1324,74
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,53
1332,0
1333,0
1334,0
1335,0
1336,0
1337,0
1338,0
1339,575
1340,0
1341,429
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,1053
1349,0
1350,0
1351,320
1352,0
1353,532
1354,0
1355,114
1356,0
1357,0
1358,0
1359,0
1360,780
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,0
1368,438
1369,0
1370,419
1371,0
1372,0
1373,0
1374,0
1375,804
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,891
1388,0
1389,0
1390,0
1391,0
1392,0
1393,1030
1394,0
1395,31
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,0
1409,0
1410,0
1411,0
1412,0
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,1467
1424,0
1425,24
1426,0
1427,0
1428,104
1429,0
1430,0
1431,0
1432,440
1433,0
1434,0
1435,0
1436,236
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1451,0
1452,0
1453,911
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,288
1461,0
1462,0
1463,0
1464,0
1465,286
1466,0
1467,0
1468,0
1469,0
1470,217
1471,0
1472,62
1473,0
1474,32
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,182
1485,0
1486,1070
1487,0
1488,10
1489,0
1490,0
1491,0
1492,0
1493,0
1494,25
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,54
1502,11
1503,2
1504,0
1505,625
1506,0
1507,0
1508,0
1509,3
1510,0
1511,5
1512,17
1513,1015
1514,0
1515,0
1516,0
1517,0
1518,38
1519,336
1520,4
1521,0
1522,7
1523,47
1524,0
1525,0
1526,363
1527,100
1528,108
1529,54
1530,345
1531,0
1532,0
1533,37
1534,6
1535,125
1536,88
1537,24
1538,0
1539,0
1540,306
1541,474
1542,103
1543,0
1544,0
1545,491
1546,0
1547,32
1548,119
1549,0
1550,2
1551,0
1552,0
1553,0
1554,18
1555,0
1556,0
1557,0
1558,0
1559,0
1560,0
1561,46
1562,110
1563,99
1564,58
1565,85
1566,9
1567,2
1568,926
1569,0
1570,23
1571,22
1572,0
1573,0
1574,60
1575,315
1576,2
1577,0
1578,0
1579,0
1580,0
1581,34
1582,1438
1583,3
1584,42
1585,0
1586,0
1587,0
1588,0
1589,237
1590,271
1591,132
1592,15
1593,67
1594,0
1595,0
1596,10
1597,68
1598,0
1599,84
1600,20
1601,59
1602,78
1603,249
1604,0
1605,0
1606,125
1607,97
1608,0
1609,0
1610,0
1611,0
1612,1426
1613,0
1614,0
1615,416
1616,155
1617,2
1618,158
1619,25
1620,192
1621,245
1622,0
1623,0
1624,84
1625,4
1626,14
1627,125
1628,158
1629,215
1630,58
1631,0
1632,17
1633,46
1634,196
1635,0
1636,25
1637,0
1638,23
1639,0
1640,2
1641,0
1642,0
1643,0
1644,4
1645,63
1646,0
1647,0
1648,0
1649,47
1650,0
1651,4
1652,57
1653,0
1654,167
1655,24
1656,742
1657,10
1658,0
1659,72
1660,46
1661,6
1662,0
1663,15
1664,0
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,0
1674,16
1675,6
1676,0
1677,0
1678,0
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,0
1686,0
1687,3348
1688,0
1689,2
1690,0
1691,7
1692,0
1693,0
1694,56
1695,0
1696,2
1697,15
1698,28
1699,67
1700,11
1701,69
1702,2
1703,0
1704,0
1705,0
1706,0
1707,0
1708,0
1709,41
1710,0
1711,0
1712,0
1713,0
1714,0
1715,0
1716,0
1717,159
1718,888
1719,0
1720,25
1721,35
1722,79
1723,68
1724,0
1725,0
1726,2
1727,0
1728,0
1729,0
1730,8
1731,4
1732,0
1733,0
1734,18
1735,2
1736,199
1737,0
1738,0
1739,0
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,2
1747,0
1748,8
1749,0
1750,57
1751,0
1752,0
1753,0
1754,0
1755,0
1756,0
1757,57
1758,122
1759,23
1760,0
1761,0
1762,0
1763,9
1764,146
1765,73
1766,27
1767,7
1768,25
1769,0
1770,0
1771,470
1772,0
1773,0
1774,18
1775,12
1776,11
1777,71
1778,0
1779,0
1780,0
1781,0
1782,0
1783,0
1784,0
1785,0
1786,0
1787,0
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,5
1797,0
1798,6
1799,110
1800,107
1801,19
1802,327
1803,216
1804,0
1805,27
1806,76
1807,116
1808,0
1809,10
1810,584
1811,2
1812,61
1813,81
1814,5
1815,0
1816,0
1817,0
1818,80
1819,410
1820,87
1821,0
1822,279
1823,0
1824,0
1825,0
1826,0
1827,61
1828,80
1829,0
1830,176
1831,48
1832,0
1833,322
1834,0
1835,45
1836,194
1837,0
1838,0
1839,0
1840,0
1841,113
1842,2
1843,0
1844,0
1845,30
1846,0
1847,0
1848,61
1849,50
1850,65
1851,31
1852,6
1853,1199
1854,0
1855,75
1856,0
1857,0
1858,0
1859,0
1860,0
1861,30
1862,0
1863,54
1864,0
1865,2025
1866,287
1867,1197
1868,0
1869,0
1870,0
1871,25
1872,3
1873,77
1874,5
1875,0
1876,19
1877,0
1878,62
1879,144
1880,2
1881,3
1882,0
1883,69
1884,5
1885,0
1886,0
1887,0
1888,0
1889,0
1890,33
1891,14
1892,7
1893,0
1894,0
